Cohort Graduation Rate Trend Data (2020 - 2024)
Trend Graph
Data Last Updated: 2/4/2025 Cohort Type: 4-Year Adj Cohort, Gender: All Students, Special Services: All Students, Race and Ethnicity: White

Maryland State  - Kent County (14)
Year, Graduation Rate (%),All Students/Total Taken, Graduation Rate (%),White/Total Taken
 ,All Students,All Students,White Students,White Students
2020, 93.43, 128/137, 94.32, 83/88
2021, >= 95.00,*/147, >= 95.00,*/107
2022, 92.65, 126/136, 91.95, 80/87
2023, 94.24, 131/139, 94.25, 82/87
2024, 92.67, 139/150, 93.02, 80/86
