Cohort Graduation Rate Trend Data (2020 - 2024)
Trend Graph
Data Last Updated: 2/4/2025 Cohort Type: 4-Year Adj Cohort, Gender: All Students, Special Services: All Students, Race and Ethnicity: Hispanic

Maryland State  - Dorchester County (09)
Year, Graduation Rate (%),All Students/Total Taken, Graduation Rate (%),Hispanic/Total Taken
 ,All Students,All Students,Hispanic/Latino of any race Students,Hispanic/Latino of any race Students
2020, 78.60, 235/299, 77.27, 17/22
2021, 80.06, 253/316, 86.96, 20/23
2022, 81.57, 270/331, 81.48, 22/27
2023, 83.76, 263/314, >= 95.00,*/29
2024, 84.42, 298/353, 83.33, 25/30
