Cohort Graduation Rate Trend Data (2020 - 2024)
Trend Graph
Data Last Updated: 2/4/2025 Cohort Type: 4-Year Adj Cohort, Gender: All Students, Special Services: All Students, Race and Ethnicity: African Am.

Maryland State  - Queen Anne's County (17)
Year, Graduation Rate (%),All Students/Total Taken, Graduation Rate (%),African Am./Total Taken
 ,All Students,All Students,Black/African American Students,Black/African American Students
2020, >= 95.00,*/620, 88.64, 39/44
2021, >= 95.00,*/574, 90.70, 39/43
2022, 94.21, 537/570, 90.00, 27/30
2023, >= 95.00,*/552, 88.00, 22/25
2024, >= 95.00,*/583, 94.59, 35/37
