school_name,school_code,county_code,county_name,category,group,enrollment,year
Preston Elementary School,0401,05,Caroline County,Race/Ethnicity,All Students,381,2025
Preston Elementary School,0401,05,Caroline County,Race/Ethnicity,Asian,*,2025
Preston Elementary School,0401,05,Caroline County,Race/Ethnicity,African Am.,32,2025
Preston Elementary School,0401,05,Caroline County,Race/Ethnicity,Hispanic,46,2025
Preston Elementary School,0401,05,Caroline County,Race/Ethnicity,White,271,2025
Preston Elementary School,0401,05,Caroline County,Race/Ethnicity,Am.Ind/AK,*,2025
Preston Elementary School,0401,05,Caroline County,Race/Ethnicity,2+,28,2025
Preston Elementary School,0401,05,Caroline County,Gender,All Students,381,2025
Preston Elementary School,0401,05,Caroline County,Gender,Male,202,2025
Preston Elementary School,0401,05,Caroline County,Gender,Female,179,2025
Preston Elementary School,0401,05,Caroline County,Grade,All Students,381,2025
Preston Elementary School,0401,05,Caroline County,Grade,Pre-Kindergarten,47,2025
Preston Elementary School,0401,05,Caroline County,Grade,Kindergarten,48,2025
Preston Elementary School,0401,05,Caroline County,Grade,Grade 1,49,2025
Preston Elementary School,0401,05,Caroline County,Grade,Grade 2,62,2025
Preston Elementary School,0401,05,Caroline County,Grade,Grade 3,67,2025
Preston Elementary School,0401,05,Caroline County,Grade,Grade 4,50,2025
Preston Elementary School,0401,05,Caroline County,Grade,Grade 5,58,2025
Preston Elementary School,0401,05,Caroline County,Grade,Elementary,286,2025
