school_name,school_code,county_code,county_name,category,group,enrollment,year
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,All Students,827,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,Asian,10,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,African Am.,87,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,Hispanic,203,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,White,458,2025
Lockerman Middle School,0302,05,Caroline County,Race/Ethnicity,2+,69,2025
Lockerman Middle School,0302,05,Caroline County,Gender,All Students,827,2025
Lockerman Middle School,0302,05,Caroline County,Gender,Male,411,2025
Lockerman Middle School,0302,05,Caroline County,Gender,Female,416,2025
Lockerman Middle School,0302,05,Caroline County,Grade,All Students,827,2025
