school_name,school_code,county_code,county_name,category,group,enrollment,year
Federalsburg Elementary School,0501,05,Caroline County,Race/Ethnicity,All Students,415,2025
Federalsburg Elementary School,0501,05,Caroline County,Race/Ethnicity,Asian,11,2025
Federalsburg Elementary School,0501,05,Caroline County,Race/Ethnicity,African Am.,160,2025
Federalsburg Elementary School,0501,05,Caroline County,Race/Ethnicity,Hispanic,29,2025
Federalsburg Elementary School,0501,05,Caroline County,Race/Ethnicity,White,148,2025
Federalsburg Elementary School,0501,05,Caroline County,Race/Ethnicity,2+,67,2025
Federalsburg Elementary School,0501,05,Caroline County,Gender,All Students,415,2025
Federalsburg Elementary School,0501,05,Caroline County,Gender,Male,215,2025
Federalsburg Elementary School,0501,05,Caroline County,Gender,Female,200,2025
Federalsburg Elementary School,0501,05,Caroline County,Grade,All Students,415,2025
Federalsburg Elementary School,0501,05,Caroline County,Grade,Pre-Kindergarten,67,2025
Federalsburg Elementary School,0501,05,Caroline County,Grade,Kindergarten,64,2025
Federalsburg Elementary School,0501,05,Caroline County,Grade,Grade 1,64,2025
Federalsburg Elementary School,0501,05,Caroline County,Grade,Grade 2,52,2025
Federalsburg Elementary School,0501,05,Caroline County,Grade,Grade 3,54,2025
Federalsburg Elementary School,0501,05,Caroline County,Grade,Grade 4,66,2025
Federalsburg Elementary School,0501,05,Caroline County,Grade,Grade 5,48,2025
Federalsburg Elementary School,0501,05,Caroline County,Grade,Elementary,284,2025
