category,group,enrollment,year
Race/Ethnicity,All Students,443,2025
Race/Ethnicity,Asian,10,2025
Race/Ethnicity,African Am.,246,2025
Race/Ethnicity,Hispanic,72,2025
Race/Ethnicity,White,71,2025
Race/Ethnicity,2+,44,2025
Gender,All Students,443,2025
Gender,Male,219,2025
Gender,Female,224,2025
Grade,All Students,443,2025
Grade,Pre-Kindergarten,56,2025
Grade,Kindergarten,65,2025
Grade,Grade 1,69,2025
Grade,Grade 2,59,2025
Grade,Grade 3,70,2025
Grade,Grade 4,63,2025
Grade,Grade 5,61,2025
Grade,Elementary,322,2025
