category,group,enrollment,year
Race/Ethnicity,All Students,610,2025
Race/Ethnicity,Asian,25,2025
Race/Ethnicity,African Am.,260,2025
Race/Ethnicity,Hispanic,67,2025
Race/Ethnicity,White,181,2025
Race/Ethnicity,2+,77,2025
Gender,All Students,610,2025
Gender,Male,321,2025
Gender,Female,289,2025
Grade,All Students,610,2025
Grade,Pre-Kindergarten,57,2025
Grade,Kindergarten,86,2025
Grade,Grade 1,101,2025
Grade,Grade 2,84,2025
Grade,Grade 3,91,2025
Grade,Grade 4,109,2025
Grade,Grade 5,82,2025
Grade,Elementary,467,2025
