category,group,enrollment,year
Race/Ethnicity,All Students,651,2025
Race/Ethnicity,Asian,23,2025
Race/Ethnicity,African Am.,447,2025
Race/Ethnicity,Hispanic,81,2025
Race/Ethnicity,White,33,2025
Race/Ethnicity,2+,67,2025
Gender,All Students,651,2025
Gender,Male,333,2025
Gender,Female,318,2025
Grade,All Students,651,2025
Grade,Pre-Kindergarten,62,2025
Grade,Kindergarten,83,2025
Grade,Grade 1,96,2025
Grade,Grade 2,87,2025
Grade,Grade 3,99,2025
Grade,Grade 4,104,2025
Grade,Grade 5,120,2025
Grade,Elementary,506,2025
