category,group,enrollment,year
Race/Ethnicity,All Students,626,2025
Race/Ethnicity,Asian,24,2025
Race/Ethnicity,African Am.,474,2025
Race/Ethnicity,Hispanic,62,2025
Race/Ethnicity,White,21,2025
Race/Ethnicity,HI/Pac.Isl.,*,2025
Race/Ethnicity,2+,43,2025
Gender,All Students,626,2025
Gender,Male,331,2025
Gender,Female,295,2025
Grade,All Students,626,2025
Grade,Pre-Kindergarten,50,2025
Grade,Kindergarten,83,2025
Grade,Grade 1,86,2025
Grade,Grade 2,93,2025
Grade,Grade 3,98,2025
Grade,Grade 4,105,2025
Grade,Grade 5,111,2025
Grade,Elementary,493,2025
