category,group,enrollment,year
Race/Ethnicity,All Students,687,2025
Race/Ethnicity,Asian,19,2025
Race/Ethnicity,African Am.,485,2025
Race/Ethnicity,Hispanic,91,2025
Race/Ethnicity,White,39,2025
Race/Ethnicity,2+,53,2025
Gender,All Students,687,2025
Gender,Male,357,2025
Gender,Female,330,2025
Grade,All Students,687,2025
Grade,Pre-Kindergarten,61,2025
Grade,Kindergarten,86,2025
Grade,Grade 1,113,2025
Grade,Grade 2,104,2025
Grade,Grade 3,105,2025
Grade,Grade 4,109,2025
Grade,Grade 5,109,2025
Grade,Elementary,540,2025
