category,group,enrollment,year
Race/Ethnicity,All Students,520,2025
Race/Ethnicity,Asian,13,2025
Race/Ethnicity,African Am.,211,2025
Race/Ethnicity,Hispanic,84,2025
Race/Ethnicity,White,164,2025
Race/Ethnicity,2+,48,2025
Gender,All Students,520,2025
Gender,Male,260,2025
Gender,Female,260,2025
Grade,All Students,520,2025
Grade,Pre-Kindergarten,45,2025
Grade,Kindergarten,72,2025
Grade,Grade 1,67,2025
Grade,Grade 2,82,2025
Grade,Grade 3,77,2025
Grade,Grade 4,101,2025
Grade,Grade 5,76,2025
Grade,Elementary,403,2025
