school_name,school_code,county_code,county_name,category,group,enrollment,year
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,All Students,322,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,Asian,10,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,African Am.,95,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,Hispanic,47,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,White,133,2025
H. H. Garnett Elementary,0403,14,Kent County,Race/Ethnicity,2+,37,2025
H. H. Garnett Elementary,0403,14,Kent County,Gender,All Students,322,2025
H. H. Garnett Elementary,0403,14,Kent County,Gender,Male,172,2025
H. H. Garnett Elementary,0403,14,Kent County,Gender,Female,150,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,All Students,322,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Pre-Kindergarten,40,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Kindergarten,42,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Grade 1,48,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Grade 2,42,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Grade 3,47,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Grade 4,50,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Grade 5,53,2025
H. H. Garnett Elementary,0403,14,Kent County,Grade,Elementary,240,2025
