Cohort Graduation Rate Trend Data (2020 - 2024)
Trend Graph
Data Last Updated: 2/4/2025 Cohort Type: 4-Year Adj Cohort, Gender: All Students, Special Services: All Students, Race and Ethnicity: African Am.

Maryland State  - Caroline County (05)
Year, Graduation Rate (%),All Students/Total Taken, Graduation Rate (%),African Am./Total Taken
 ,All Students,All Students,Black/African American Students,Black/African American Students
2020, 87.62, 361/412, 83.61, 51/61
2021, 89.76, 368/410, 85.07, 57/67
2022, 85.21, 340/399, 87.72, 50/57
2023, 86.57, 348/402, 85.94, 55/64
2024, 87.53, 365/417, 85.71, 42/49
