Cohort Graduation Rate Trend Data (2020 - 2024)
Trend Graph
Data Last Updated: 2/4/2025 Cohort Type: 4-Year Adj Cohort, Gender: All Students, Special Services: All Students, Race and Ethnicity: White

Maryland State  - Caroline County (05)
Year, Graduation Rate (%),All Students/Total Taken, Graduation Rate (%),White/Total Taken
 ,All Students,All Students,White Students,White Students
2020, 87.62, 361/412, 91.83, 236/257
2021, 89.76, 368/410, 94.51, 241/255
2022, 85.21, 340/399, 91.03, 213/234
2023, 86.57, 348/402, 90.76, 216/238
2024, 87.53, 365/417, 91.80, 235/256
