school_name,school_code,county_code,county_name,category,group,enrollment,year
Preston Elementary School,0401,05,Caroline County,Grade,Grade 5,58,2025
Preston Elementary School,0401,05,Caroline County,Grade,Elementary,286,2025
Ridgely Elementary School,0701,05,Caroline County,Race/Ethnicity,All Students,433,2025
Ridgely Elementary School,0701,05,Caroline County,Race/Ethnicity,Asian,*,2025
Ridgely Elementary School,0701,05,Caroline County,Race/Ethnicity,African Am.,48,2025
Ridgely Elementary School,0701,05,Caroline County,Race/Ethnicity,Hispanic,54,2025
Ridgely Elementary School,0701,05,Caroline County,Race/Ethnicity,White,298,2025
Ridgely Elementary School,0701,05,Caroline County,Race/Ethnicity,2+,31,2025
Ridgely Elementary School,0701,05,Caroline County,Gender,All Students,433,2025
Ridgely Elementary School,0701,05,Caroline County,Gender,Male,209,2025
Ridgely Elementary School,0701,05,Caroline County,Gender,Female,224,2025
Ridgely Elementary School,0701,05,Caroline County,Grade,All Students,433,2025
Ridgely Elementary School,0701,05,Caroline County,Grade,Pre-Kindergarten,47,2025
Ridgely Elementary School,0701,05,Caroline County,Grade,Kindergarten,71,2025
Ridgely Elementary School,0701,05,Caroline County,Grade,Grade 1,57,2025
Ridgely Elementary School,0701,05,Caroline County,Grade,Grade 2,57,2025
Ridgely Elementary School,0701,05,Caroline County,Grade,Grade 3,60,2025
Ridgely Elementary School,0701,05,Caroline County,Grade,Grade 4,72,2025
Ridgely Elementary School,0701,05,Caroline County,Grade,Grade 5,69,2025
Ridgely Elementary School,0701,05,Caroline County,Grade,Elementary,315,2025
Colonel Richardson Middle School,0802,05,Caroline County,Race/Ethnicity,All Students,390,2025
Colonel Richardson Middle School,0802,05,Caroline County,Race/Ethnicity,Asian,*,2025
Colonel Richardson Middle School,0802,05,Caroline County,Race/Ethnicity,African Am.,84,2025
Colonel Richardson Middle School,0802,05,Caroline County,Race/Ethnicity,Hispanic,37,2025
Colonel Richardson Middle School,0802,05,Caroline County,Race/Ethnicity,White,220,2025
Colonel Richardson Middle School,0802,05,Caroline County,Race/Ethnicity,Am.Ind/AK,*,2025
Colonel Richardson Middle School,0802,05,Caroline County,Race/Ethnicity,2+,44,2025
