category,group,enrollment,year
Race/Ethnicity,All Students,351,2025
Race/Ethnicity,Asian,10,2025
Race/Ethnicity,African Am.,80,2025
Race/Ethnicity,Hispanic,73,2025
Race/Ethnicity,White,137,2025
Race/Ethnicity,2+,51,2025
Gender,All Students,351,2025
Gender,Male,194,2025
Gender,Female,157,2025
Grade,All Students,351,2025
Grade,Pre-Kindergarten,43,2025
Grade,Kindergarten,58,2025
Grade,Grade 1,47,2025
Grade,Grade 2,55,2025
Grade,Grade 3,44,2025
Grade,Grade 4,59,2025
Grade,Grade 5,45,2025
Grade,Elementary,250,2025
