category,group,enrollment,year
Race/Ethnicity,All Students,698,2025
Race/Ethnicity,Asian,20,2025
Race/Ethnicity,African Am.,137,2025
Race/Ethnicity,Hispanic,166,2025
Race/Ethnicity,White,319,2025
Race/Ethnicity,2+,56,2025
Gender,All Students,698,2025
Gender,Male,371,2025
Gender,Female,327,2025
Grade,All Students,698,2025
Grade,Pre-Kindergarten,65,2025
Grade,Kindergarten,111,2025
Grade,Grade 1,107,2025
Grade,Grade 2,109,2025
Grade,Grade 3,102,2025
Grade,Grade 4,102,2025
Grade,Grade 5,102,2025
Grade,Elementary,522,2025
