category,group,enrollment,year
Race/Ethnicity,All Students,397,2025
Race/Ethnicity,Asian,13,2025
Race/Ethnicity,African Am.,75,2025
Race/Ethnicity,Hispanic,62,2025
Race/Ethnicity,White,217,2025
Race/Ethnicity,2+,30,2025
Gender,All Students,397,2025
Gender,Male,211,2025
Gender,Female,186,2025
Grade,All Students,397,2025
Grade,Pre-Kindergarten,38,2025
Grade,Kindergarten,55,2025
Grade,Grade 1,65,2025
Grade,Grade 2,53,2025
Grade,Grade 3,62,2025
Grade,Grade 4,62,2025
Grade,Grade 5,62,2025
Grade,Elementary,304,2025
