category,group,enrollment,year
Race/Ethnicity,All Students,498,2025
Race/Ethnicity,Asian,16,2025
Race/Ethnicity,African Am.,211,2025
Race/Ethnicity,Hispanic,77,2025
Race/Ethnicity,White,133,2025
Race/Ethnicity,2+,61,2025
Gender,All Students,498,2025
Gender,Male,265,2025
Gender,Female,233,2025
Grade,All Students,498,2025
Grade,Pre-Kindergarten,56,2025
Grade,Kindergarten,66,2025
Grade,Grade 1,81,2025
Grade,Grade 2,73,2025
Grade,Grade 3,74,2025
Grade,Grade 4,75,2025
Grade,Grade 5,73,2025
Grade,Elementary,376,2025
